,price_eur_mwh,load_mw,solar_mw,wind_onshore_mw,gas_mw,lignite_mw,oil_mw,hydro_reservoir_mw,hydro_pumped_mw,storage_mw,hour,day_of_week,month,weekend,price_lag_1,price_lag_24,price_lag_168,price_mean_24h,price_std_24h,price_mean_168h,renewable_generation,renewable_share,residual_load
2020-01-07 23:00:00+00:00,53.88,5368.33,0.0,1101.0,1457.0,1361.0,0.0,67.0,0.0,0.0,23,1,1,0,41.5,34.37,66.01,52.92249999999999,12.81560741745239,53.50892857142857,1168.0,0.21757231764813267,4200.33
2020-01-08 00:00:00+00:00,48.14,5280.36,0.0,1062.0,1470.0,1339.0,0.0,64.0,0.0,0.0,0,2,1,0,53.88,30.46,66.01,53.65916666666667,11.94698321631927,53.40255952380952,1126.0,0.21324303645963535,4154.36
2020-01-08 01:00:00+00:00,44.45,5079.52,0.0,1018.0,1499.0,1334.0,0.0,61.0,0.0,0.0,1,2,1,0,48.14,28.21,58.99,54.33583333333334,10.852687471880806,53.31601190476191,1079.0,0.21242164613979272,4000.5200000000004
2020-01-08 02:00:00+00:00,42.9,4961.62,0.0,1017.0,1462.0,1332.0,0.0,63.0,0.0,0.0,2,2,1,0,44.45,27.21,53.16,54.989583333333336,9.540916681492828,53.25494047619048,1080.0,0.21767084137842077,3881.62
2020-01-08 03:00:00+00:00,43.93,5064.37,0.0,1038.0,1437.0,1340.0,0.0,63.0,0.0,0.0,3,2,1,0,42.9,30.39,53.48,55.55375,8.348926414971471,53.19809523809524,1101.0,0.2174011772441587,3963.37
2020-01-08 04:00:00+00:00,54.61,5682.32,0.0,1095.0,1581.0,1378.0,0.0,91.0,0.0,0.0,4,2,1,0,43.93,40.05,53.49,56.16041666666666,7.6751901147203565,53.20476190476192,1186.0,0.20871756606456518,4496.32
2020-01-08 05:00:00+00:00,66.0,6712.74,1.0,1129.0,2207.0,1599.0,0.0,326.0,0.0,0.0,5,2,1,0,54.61,53.68,54.0,56.67374999999999,7.910469569143631,53.276190476190486,1456.0,0.21690099720829348,5256.74
2020-01-08 06:00:00+00:00,76.88,7316.13,156.0,1203.0,2513.0,1694.0,0.0,489.0,0.0,0.0,6,2,1,0,66.0,68.21,50.78,57.035000000000004,8.625827244512465,53.43154761904762,1848.0,0.2525925591808784,5468.13
2020-01-08 07:00:00+00:00,78.33,7870.61,687.0,1218.0,2835.0,1669.0,0.0,527.0,0.0,0.0,7,2,1,0,76.88,56.25,51.02,57.955000000000005,9.654599714756351,53.59410714285714,2432.0,0.3089976507538806,5438.61
2020-01-08 08:00:00+00:00,63.93,7930.65,1157.0,1214.0,2727.0,1578.0,0.0,439.0,0.0,0.0,8,2,1,0,78.33,59.26,54.62,58.14958333333334,9.728820241791956,53.649523809523814,2810.0,0.3543215247173939,5120.65
2020-01-08 09:00:00+00:00,56.25,7919.79,1387.0,1230.0,2567.0,1424.0,0.0,273.0,0.0,0.0,9,2,1,0,63.93,56.25,55.84,58.14958333333334,9.728820241791956,53.65196428571429,2890.0,0.364908665507545,5029.79
2020-01-08 10:00:00+00:00,53.78,7854.09,1426.0,1208.0,2583.0,1358.0,0.0,206.0,0.0,0.0,10,2,1,0,56.25,56.25,54.63,58.046666666666674,9.762793909918189,53.64690476190475,2840.0,0.3615950415643314,5014.09
2020-01-08 11:00:00+00:00,53.68,7804.96,1397.0,1234.0,2507.0,1375.0,0.0,193.0,0.0,0.0,11,2,1,0,53.78,54.64,51.03,58.00666666666667,9.77931119947777,53.66267857142857,2824.0,0.3618212008773908,4980.96
2020-01-08 12:00:00+00:00,54.12,7640.81,1192.0,1242.0,2600.0,1348.0,0.0,190.0,0.0,0.0,12,2,1,0,53.68,56.25,40.78,57.91791666666666,9.805576487571889,53.74208333333333,2624.0,0.34341908776687285,5016.81
2020-01-08 13:00:00+00:00,56.5,7754.23,824.0,1212.0,3037.0,1376.0,0.0,295.0,0.0,0.0,13,2,1,0,54.12,57.01,44.14,57.89666666666667,9.808181884735696,53.81565476190477,2331.0,0.3006101186062317,5423.23
2020-01-08 14:00:00+00:00,68.0,7728.18,269.0,1201.0,3344.0,1551.0,0.0,410.0,0.0,0.0,14,2,1,0,56.5,60.88,54.62,58.19333333333333,10.007985362423959,53.89529761904762,1880.0,0.2432655554089061,5848.18
2020-01-08 15:00:00+00:00,75.93,7909.82,8.0,1171.0,3533.0,1675.0,0.0,710.0,21.0,21.0,15,2,1,0,68.0,64.11,52.11,58.685833333333335,10.585954154553962,54.03708333333334,1910.0,0.241471993041561,5999.82
2020-01-08 16:00:00+00:00,76.76,8529.36,0.0,1246.0,3574.0,1755.0,0.0,1142.0,317.0,317.0,16,2,1,0,75.93,67.0,52.11,59.0925,11.094489133368612,54.18380952380953,2705.0,0.3171398557453314,5824.360000000001
2020-01-08 17:00:00+00:00,75.0,8614.09,0.0,1249.0,3512.0,1828.0,0.0,1273.0,348.0,348.0,17,2,1,0,76.76,62.63,52.34,59.60791666666666,11.544198233845355,54.31869047619048,2870.0,0.3331750655031466,5744.09
2020-01-08 18:00:00+00:00,76.0,8530.53,0.0,1240.0,3484.0,1899.0,0.0,1049.0,268.0,268.0,18,2,1,0,75.0,62.4,52.11,60.17458333333334,12.01154118162904,54.46089285714286,2557.0,0.2997469090431661,5973.530000000001
2020-01-08 19:00:00+00:00,77.0,8045.38,0.0,1265.0,3392.0,1812.0,0.0,591.0,11.0,11.0,19,2,1,0,76.0,68.4,51.48,60.532916666666665,12.389914018428753,54.612797619047626,1867.0,0.23205864732305995,6178.38
2020-01-08 20:00:00+00:00,58.32,7314.75,0.0,1284.0,2920.0,1566.0,0.0,382.0,0.0,0.0,20,2,1,0,77.0,58.97,51.09,60.50583333333333,12.394188651091282,54.655833333333334,1666.0,0.22775898014286203,5648.75
2020-01-08 21:00:00+00:00,61.83,6776.1,0.0,1335.0,2401.0,1334.0,0.0,167.0,0.0,0.0,21,2,1,0,58.32,56.25,51.03,60.73833333333334,12.36318154728037,54.72011904761904,1502.0,0.22166142766488098,5274.1
2020-01-08 22:00:00+00:00,56.43,6033.29,0.0,1319.0,1744.0,1339.0,0.0,160.0,0.0,0.0,22,2,1,0,61.83,41.5,54.62,61.36041666666666,11.71151513576965,54.73089285714286,1479.0,0.24513988222014854,4554.29
2020-01-08 23:00:00+00:00,52.0,5447.01,0.0,1275.0,1197.0,1339.0,0.0,37.0,0.0,0.0,23,2,1,0,56.43,53.88,40.78,61.28208333333333,11.769865715006041,54.79767857142857,1312.0,0.24086608983644237,4135.01
2020-01-09 00:00:00+00:00,48.3,5384.94,0.0,1230.0,1168.0,1344.0,0.0,29.0,0.0,0.0,0,3,1,0,52.0,48.14,34.78,61.28874999999999,11.762140929232643,54.87815476190477,1259.0,0.233800190902777,4125.94
2020-01-09 01:00:00+00:00,46.0,5274.62,0.0,1167.0,1223.0,1350.0,0.0,28.0,0.0,0.0,1,3,1,0,48.3,44.45,29.17,61.353333333333325,11.669554094035577,54.97833333333334,1195.0,0.22655660502557531,4079.62
2020-01-09 02:00:00+00:00,41.0,5212.55,0.0,1109.0,1325.0,1340.0,0.0,29.0,0.0,0.0,2,3,1,0,46.0,42.9,30.0,61.274166666666666,11.805834193926836,55.04380952380953,1138.0,0.21831924873622316,4074.55
2020-01-09 03:00:00+00:00,42.79,5332.64,0.0,1053.0,1346.0,1337.0,0.0,30.0,0.0,0.0,3,3,1,0,41.0,43.93,35.41,61.22666666666667,11.8807072936379,55.0877380952381,1083.0,0.2030889015572024,4249.64
2020-01-09 04:00:00+00:00,55.27,5972.82,0.0,1021.0,1828.0,1343.0,0.0,79.0,0.0,0.0,4,3,1,0,42.79,54.61,46.9,61.25416666666667,11.865480043667262,55.137559523809514,1100.0,0.18416761261849512,4872.82
2020-01-09 05:00:00+00:00,61.82,7024.88,1.0,1026.0,2726.0,1497.0,0.0,392.0,0.0,0.0,5,3,1,0,55.27,66.0,53.58,61.080000000000005,11.823393171461223,55.186607142857135,1419.0,0.20199633303344683,5605.88
2020-01-09 06:00:00+00:00,74.0,7541.99,176.0,939.0,3355.0,1669.0,0.0,372.0,0.0,0.0,6,3,1,0,61.82,76.88,53.79,60.96,11.669676795941632,55.30690476190477,1487.0,0.19716281777090663,6054.99
2020-01-09 07:00:00+00:00,69.02,8160.98,716.0,855.0,3847.0,1659.0,0.0,400.0,0.0,0.0,7,3,1,0,74.0,78.33,54.36,60.57208333333333,11.212970742061101,55.39416666666666,1971.0,0.241515112155648,6189.98
2020-01-09 08:00:00+00:00,68.99,8235.5,1181.0,835.0,3785.0,1626.0,0.0,274.0,0.0,0.0,8,3,1,0,69.02,63.93,51.1,60.782916666666665,11.325855943915155,55.500654761904755,2290.0,0.2780644769595046,5945.5
2020-01-09 09:00:00+00:00,63.9,8221.09,1434.0,797.0,3625.0,1591.0,0.0,270.0,0.0,0.0,9,3,1,0,68.99,56.25,49.1,61.10166666666667,11.30035731126756,55.58875000000001,2501.0,0.3042175672568966,5720.09
2020-01-09 10:00:00+00:00,64.14,8148.84,1526.0,728.0,3623.0,1575.0,0.0,265.0,0.0,0.0,10,3,1,0,63.9,53.78,50.68,61.53333333333333,11.20599283251235,55.668869047619054,2519.0,0.30912375258318975,5629.84
2020-01-09 11:00:00+00:00,66.99,8025.08,1471.0,718.0,3463.0,1596.0,0.0,269.0,0.0,0.0,11,3,1,0,64.14,53.68,54.36,62.087916666666665,11.129528283752183,55.74404761904762,2458.0,0.3062897815348881,5567.08
2020-01-09 12:00:00+00:00,66.97,7774.47,1290.0,625.0,3523.0,1596.0,0.0,159.0,0.0,0.0,12,3,1,0,66.99,54.12,54.35,62.623333333333335,11.038261782926012,55.81916666666666,2074.0,0.26677059658086016,5700.47
2020-01-09 13:00:00+00:00,68.95,7840.21,894.0,580.0,3549.0,1687.0,0.0,144.0,0.0,0.0,13,3,1,0,66.97,56.5,54.7,63.14208333333334,11.03052522663184,55.9039880952381,1618.0,0.2063720231983582,6222.21
2020-01-09 14:00:00+00:00,76.96,7816.37,306.0,548.0,3715.0,1798.0,0.0,275.0,0.0,0.0,14,3,1,0,68.95,68.0,58.0,63.515416666666674,11.349119092099867,56.016845238095236,1129.0,0.14444044997869857,6687.37
2020-01-09 15:00:00+00:00,77.0,8159.31,10.0,559.0,4040.0,1896.0,0.0,526.0,4.0,4.0,15,3,1,0,76.96,75.93,70.01,63.56,11.4019868596585,56.05845238095238,1099.0,0.13469276201051314,7060.31
2020-01-09 16:00:00+00:00,71.2,8719.27,0.0,501.0,4275.0,1978.0,0.0,868.0,204.0,204.0,16,3,1,0,77.0,76.76,76.0,63.328333333333326,11.176379466133634,56.02988095238096,1573.0,0.18040501096995504,7146.27
2020-01-09 17:00:00+00:00,71.0,8800.52,0.0,453.0,4224.0,1934.0,0.0,928.0,247.0,247.0,17,3,1,0,71.2,75.0,73.01,63.16166666666666,11.023539109231331,56.017916666666665,1628.0,0.18498906882775107,7172.52
2020-01-09 18:00:00+00:00,69.22,8709.83,0.0,433.0,4183.0,1916.0,0.0,1017.0,115.0,115.0,18,3,1,0,71.0,76.0,73.0,62.87916666666666,10.764048016900706,55.995416666666664,1565.0,0.17968203742208516,7144.83
2020-01-09 19:00:00+00:00,66.61,8204.38,0.0,390.0,4064.0,1888.0,0.0,672.0,9.0,9.0,19,3,1,0,69.22,77.0,70.01,62.44625,10.373276624807698,55.97517857142857,1071.0,0.1305400286188597,7133.379999999999
2020-01-09 20:00:00+00:00,62.16,7493.19,0.0,328.0,3532.0,1740.0,0.0,373.0,0.0,0.0,20,3,1,0,66.61,58.32,56.46,62.606249999999996,10.336414235078312,56.00910714285713,701.0,0.09355161152993585,6792.19
2020-01-09 21:00:00+00:00,61.46,6999.29,0.0,292.0,3117.0,1714.0,0.0,252.0,0.0,0.0,21,3,1,0,62.16,61.83,53.88,62.59083333333333,10.337898161899073,56.05422619047619,544.0,0.07772216896285195,6455.29
2020-01-09 22:00:00+00:00,61.98,6189.97,0.0,296.0,2725.0,1545.0,0.0,35.0,0.0,0.0,22,3,1,0,61.46,56.43,54.52,62.82208333333333,10.255842440612362,56.09863095238095,331.0,0.053473603264636176,5858.97
2020-01-09 23:00:00+00:00,56.41,5657.42,0.0,245.0,2129.0,1498.0,0.0,8.0,0.0,0.0,23,3,1,0,61.98,52.0,45.79,63.005833333333335,10.09170986359663,56.16184523809524,253.0,0.04472003139240148,5404.42
2020-01-10 00:00:00+00:00,56.4,5601.4,0.0,198.0,2075.0,1515.0,0.0,2.0,0.0,0.0,0,4,1,0,56.41,48.3,38.0,63.343333333333334,9.706613015459256,56.27136904761905,200.0,0.03570535937444211,5401.4
2020-01-10 01:00:00+00:00,54.57,5424.55,0.0,194.0,1902.0,1517.0,0.0,2.0,0.0,0.0,1,4,1,0,56.4,46.0,30.86,63.700416666666676,9.18444264914106,56.412499999999994,196.0,0.036132029384925934,5228.55
2020-01-10 02:00:00+00:00,54.56,5326.07,0.0,200.0,1860.0,1509.0,0.0,2.0,0.0,0.0,2,4,1,0,54.57,41.0,28.64,64.26541666666667,8.077662694211,56.56678571428572,202.0,0.03792665135831861,5124.07
2020-01-10 03:00:00+00:00,56.38,5472.89,0.0,178.0,2048.0,1499.0,0.0,2.0,0.0,0.0,3,4,1,0,54.56,42.79,36.79,64.83166666666666,6.896784169745832,56.683392857142856,180.0,0.03288938750824519,5292.89
2020-01-10 04:00:00+00:00,63.83,6027.7,0.0,161.0,2471.0,1675.0,0.0,32.0,0.0,0.0,4,4,1,0,56.38,55.27,43.45,65.18833333333333,6.5955661435256525,56.804702380952385,193.0,0.03201884632612771,5834.7
2020-01-10 05:00:00+00:00,67.99,7089.62,2.0,135.0,3298.0,1927.0,0.0,197.0,0.0,0.0,5,4,1,0,63.83,61.82,54.15,65.44541666666667,6.578792659927614,56.88708333333333,334.0,0.047111128664159715,6755.62
2020-01-10 06:00:00+00:00,72.7,7646.22,204.0,112.0,3610.0,2010.0,0.0,546.0,0.0,0.0,6,4,1,0,67.99,74.0,56.99,65.39125,6.510291059078054,56.98059523809523,862.0,0.112735443133993,6784.22
2020-01-10 07:00:00+00:00,78.22,8090.31,782.0,105.0,3628.0,2018.0,0.0,473.0,0.0,0.0,7,4,1,0,72.7,69.02,68.97,65.77458333333333,6.9866699035075515,57.03565476190476,1360.0,0.1681023347683834,6730.31
2020-01-10 08:00:00+00:00,72.61,8053.06,1263.0,77.0,3638.0,1881.0,0.0,205.0,0.0,0.0,8,4,1,0,78.22,68.99,58.45,65.92541666666666,7.09730443574331,57.11994047619047,1545.0,0.19185253804144015,6508.06
2020-01-10 09:00:00+00:00,64.7,7906.8,1505.0,65.0,3491.0,1660.0,0.0,155.0,0.0,0.0,9,4,1,0,72.61,63.9,54.72,65.95875,7.089252313859601,57.17934523809523,1725.0,0.2181666413719836,6181.8
2020-01-10 10:00:00+00:00,63.86,7773.62,1581.0,46.0,3332.0,1588.0,0.0,152.0,0.0,0.0,10,4,1,0,64.7,64.14,54.73,65.94708333333334,7.092605138094608,57.233690476190475,1779.0,0.22885090858570395,5994.62
2020-01-10 11:00:00+00:00,63.86,7625.51,1519.0,44.0,3299.0,1580.0,0.0,156.0,0.0,0.0,11,4,1,0,63.86,66.99,54.73,65.81666666666666,7.101365861680962,57.28803571428571,1719.0,0.2254275451740277,5906.51
2020-01-10 12:00:00+00:00,63.86,7373.41,1298.0,47.0,3287.0,1555.0,0.0,116.0,0.0,0.0,12,4,1,0,63.86,66.97,54.72,65.68708333333333,7.107777417648862,57.34244047619047,1461.0,0.1981444135074545,5912.41
2020-01-10 13:00:00+00:00,72.68,7419.19,887.0,50.0,3536.0,1522.0,0.0,289.0,0.0,0.0,13,4,1,0,63.86,68.95,57.45,65.8425,7.222085842264822,57.43309523809524,1226.0,0.16524714962145465,6193.19
2020-01-10 14:00:00+00:00,72.59,7426.82,300.0,33.0,3928.0,1587.0,0.0,412.0,0.0,0.0,14,4,1,0,72.68,76.96,68.97,65.66041666666666,6.980657424606132,57.45464285714285,745.0,0.10031211204795593,6681.82
2020-01-10 15:00:00+00:00,72.74,7792.58,9.0,26.0,4256.0,1677.0,0.0,688.0,40.0,40.0,15,4,1,0,72.59,77.0,70.5,65.48291666666667,6.729424343341132,57.467976190476186,763.0,0.09791365632434958,7029.58
2020-01-10 16:00:00+00:00,83.72,8437.19,0.0,36.0,4356.0,1937.0,0.0,982.0,250.0,250.0,16,4,1,0,72.74,71.2,69.22,66.00458333333334,7.618437006862675,57.55428571428572,1268.0,0.15028700313730045,7169.1900000000005
2020-01-10 17:00:00+00:00,78.54,8478.99,0.0,34.0,4348.0,2093.0,0.0,878.0,169.0,169.0,17,4,1,0,83.72,71.0,69.21,66.31875000000001,7.980266592746308,57.60982142857142,1081.0,0.12749159982497915,7397.99
2020-01-10 18:00:00+00:00,72.0,8325.65,0.0,27.0,4264.0,2087.0,0.0,911.0,12.0,12.0,18,4,1,0,78.54,69.22,69.14,66.43458333333334,8.04412936309103,57.626845238095235,950.0,0.11410520499900909,7375.65
2020-01-10 19:00:00+00:00,70.8,7784.45,0.0,18.0,3844.0,2067.0,0.0,429.0,0.0,0.0,19,4,1,0,72.0,66.61,70.49,66.60916666666667,8.093419182148503,57.62869047619048,447.0,0.0574221685539762,7337.45
2020-01-10 20:00:00+00:00,67.99,7167.96,0.0,12.0,3599.0,1742.0,0.0,137.0,0.0,0.0,20,4,1,0,70.8,62.16,83.82,66.85208333333334,8.041399391067761,57.53446428571429,149.0,0.02078694635572743,7018.96
2020-01-10 21:00:00+00:00,61.83,6763.33,0.0,13.0,3306.0,1580.0,0.0,105.0,0.0,0.0,21,4,1,0,67.99,61.46,83.8,66.86749999999999,8.030960335666075,57.40369047619048,118.0,0.01744702683441441,6645.33
2020-01-10 22:00:00+00:00,64.5,6126.27,0.0,23.0,2727.0,1581.0,0.0,30.0,0.0,0.0,22,4,1,0,61.83,61.98,54.61,66.9725,7.980596714096117,57.46255952380953,53.0,0.008651267410675663,6073.27
2020-01-10 23:00:00+00:00,64.48,5627.83,0.0,34.0,2274.0,1603.0,0.0,2.0,0.0,0.0,23,4,1,0,64.5,56.41,46.24,67.30874999999999,7.680582129488901,57.571130952380955,36.0,0.006396781708047329,5591.83
2020-01-11 00:00:00+00:00,63.84,5505.74,0.0,38.0,2212.0,1487.0,0.0,2.0,0.0,0.0,0,5,1,1,64.48,56.4,45.08,67.61875,7.364798360532516,57.682797619047626,40.0,0.007265145103110572,5465.74
2020-01-11 01:00:00+00:00,58.55,5316.45,0.0,29.0,1995.0,1432.0,0.0,1.0,0.0,0.0,1,5,1,1,63.84,54.57,36.43,67.78458333333333,7.098187753508357,57.81446428571429,30.0,0.005642863188781988,5286.45
2020-01-11 02:00:00+00:00,57.31,5230.21,0.0,18.0,1948.0,1430.0,0.0,1.0,0.0,0.0,2,5,1,1,58.55,54.56,33.6,67.89916666666666,6.894706171288506,57.95559523809524,19.0,0.0036327413239621354,5211.21
2020-01-11 03:00:00+00:00,58.53,5232.38,0.0,17.0,1954.0,1427.0,0.0,1.0,0.0,0.0,3,5,1,1,57.31,56.38,36.08,67.98875,6.7509994831681865,58.08922619047619,18.0,0.0034401171168760678,5214.38
2020-01-11 04:00:00+00:00,61.76,5495.12,0.0,18.0,2158.0,1478.0,0.0,55.0,0.0,0.0,4,5,1,1,58.53,63.83,45.96,67.90249999999999,6.819318625913966,58.183273809523804,73.0,0.01328451425992517,5422.12
2020-01-11 05:00:00+00:00,60.91,5876.81,1.0,29.0,2797.0,1495.0,0.0,139.0,0.0,0.0,5,5,1,1,61.76,67.99,50.67,67.6075,6.966910144139927,58.24422619047618,169.0,0.02875709781326944,5707.81
2020-01-11 06:00:00+00:00,66.32,6407.75,191.0,38.0,3207.0,1488.0,0.0,199.0,0.0,0.0,6,5,1,1,60.91,72.7,54.12,67.34166666666667,6.885392014141528,58.31684523809523,428.0,0.06679411649955133,5979.75
2020-01-11 07:00:00+00:00,72.62,7164.62,680.0,57.0,3369.0,1612.0,0.0,222.0,0.0,0.0,7,5,1,1,66.32,78.22,54.61,67.10833333333333,6.5892347425745745,58.42404761904762,959.0,0.13385217918047293,6205.62
2020-01-11 08:00:00+00:00,63.8,7428.39,1075.0,57.0,3302.0,1507.0,0.0,280.0,0.0,0.0,8,5,1,1,72.62,72.61,54.61,66.74125,6.51438896497245,58.47874999999999,1412.0,0.1900815654536178,6016.39
2020-01-11 09:00:00+00:00,57.72,7470.69,1250.0,68.0,3259.0,1406.0,0.0,186.0,0.0,0.0,9,5,1,1,63.8,64.7,54.12,66.45041666666667,6.760638302233124,58.50017857142858,1504.0,0.20132009225386144,5966.69
2020-01-11 10:00:00+00:00,56.45,7395.09,1250.0,77.0,3231.0,1386.0,0.0,100.0,0.0,0.0,10,5,1,1,57.72,63.86,52.37,66.14166666666667,7.047212009117346,58.52446428571428,1427.0,0.19296587330242093,5968.09
2020-01-11 11:00:00+00:00,56.45,7347.69,1178.0,75.0,3136.0,1452.0,0.0,62.0,0.0,0.0,11,5,1,1,56.45,63.86,50.49,65.83291666666666,7.308982251857611,58.55994047619048,1315.0,0.17896781165236966,6032.69
2020-01-11 12:00:00+00:00,56.46,7116.04,949.0,78.0,3095.0,1516.0,0.0,55.0,0.0,0.0,12,5,1,1,56.45,63.86,50.49,65.52458333333333,7.548007499343355,58.595476190476184,1082.0,0.15205085974783727,6034.04
2020-01-11 13:00:00+00:00,57.76,7167.99,555.0,114.0,3230.0,1495.0,0.0,234.0,0.0,0.0,13,5,1,1,56.46,72.68,54.16,64.90291666666666,7.547470338761956,58.616904761904756,903.0,0.1259767382487978,6264.99
2020-01-11 14:00:00+00:00,61.94,7188.82,178.0,105.0,3434.0,1506.0,0.0,461.0,0.0,0.0,14,5,1,1,57.76,72.59,56.49,64.45916666666666,7.387241596549822,58.649345238095236,744.0,0.10349403657345713,6444.82
2020-01-11 15:00:00+00:00,63.94,7375.87,7.0,65.0,3627.0,1606.0,0.0,654.0,93.0,93.0,15,5,1,1,61.94,72.74,62.81,64.0925,7.173657880837592,58.65607142857144,819.0,0.11103774876726406,6556.87
2020-01-11 16:00:00+00:00,72.81,7915.28,0.0,65.0,3903.0,1728.0,0.0,682.0,198.0,198.0,16,5,1,1,63.94,83.72,70.44,63.63791666666666,6.148198731736524,58.67017857142857,945.0,0.11938933303686035,6970.28
2020-01-11 17:00:00+00:00,72.8,7902.99,0.0,73.0,3916.0,1664.0,0.0,834.0,78.0,78.0,17,5,1,1,72.81,78.54,69.21,63.39875,5.633389830134249,58.69154761904761,985.0,0.12463637180358321,6917.99
2020-01-11 18:00:00+00:00,78.3,7707.48,0.0,99.0,3971.0,1737.0,0.0,568.0,2.0,2.0,18,5,1,1,72.8,72.0,66.0,63.661249999999995,6.172586176692447,58.764761904761905,669.0,0.08679879805072475,7038.48
2020-01-11 19:00:00+00:00,70.9,7290.95,0.0,132.0,3705.0,1570.0,0.0,218.0,0.0,0.0,19,5,1,1,78.3,70.8,62.81,63.665416666666665,6.1776462234671445,58.812916666666666,350.0,0.04800471817801521,6940.95
2020-01-11 20:00:00+00:00,63.95,6744.39,0.0,217.0,3307.0,1345.0,0.0,174.0,0.0,0.0,20,5,1,1,70.9,67.99,58.57,63.497083333333336,6.10934813228452,58.84494047619048,391.0,0.05797410885194954,6353.39
2020-01-11 21:00:00+00:00,61.86,6290.22,0.0,280.0,2794.0,1309.0,0.0,136.0,0.0,0.0,21,5,1,1,63.95,61.83,55.99,63.498333333333335,6.108995268323989,58.87988095238095,416.0,0.06613441183297246,5874.22
2020-01-11 22:00:00+00:00,57.7,5733.79,0.0,285.0,2206.0,1344.0,0.0,107.0,0.0,0.0,22,5,1,1,61.86,64.5,60.51,63.215,6.217250196027112,58.86315476190477,392.0,0.06836664754028313,5341.79
2020-01-11 23:00:00+00:00,68.3,5241.32,0.0,308.0,1632.0,1365.0,0.0,94.0,0.0,0.0,23,5,1,1,57.7,64.48,60.51,63.37416666666667,6.299398119397264,58.909523809523805,402.0,0.07669823632214787,4839.32
2020-01-12 00:00:00+00:00,70.36,5141.83,0.0,304.0,1564.0,1361.0,0.0,69.0,0.0,0.0,0,6,1,1,68.3,63.84,76.68,63.645833333333336,6.458931070982968,58.87190476190476,373.0,0.07254226608036439,4768.83
2020-01-12 01:00:00+00:00,59.69,4921.45,0.0,345.0,1328.0,1356.0,0.0,50.0,0.0,0.0,1,6,1,1,70.36,58.55,54.56,63.69333333333333,6.4239231319962204,58.90244047619048,395.0,0.0802608987188735,4526.45
2020-01-12 02:00:00+00:00,57.64,4746.86,0.0,362.0,1178.0,1307.0,0.0,47.0,0.0,0.0,2,6,1,1,59.69,57.31,54.24,63.70708333333334,6.410004055595648,58.92267857142857,409.0,0.0861622209207771,4337.86
2020-01-12 03:00:00+00:00,57.65,4748.92,0.0,373.0,1168.0,1297.0,0.0,51.0,0.0,0.0,3,6,1,1,57.64,58.53,53.98,63.670416666666675,6.443335943415429,58.94452380952381,424.0,0.0892834581336388,4324.92
2020-01-12 04:00:00+00:00,63.83,4888.73,0.0,378.0,1267.0,1308.0,0.0,78.0,0.0,0.0,4,6,1,1,57.65,61.76,54.56,63.75666666666667,6.430493027731946,58.99970238095237,456.0,0.09327575873488617,4432.73
2020-01-12 05:00:00+00:00,61.08,5110.8,1.0,399.0,1513.0,1362.0,0.0,76.0,0.0,0.0,5,6,1,1,63.83,60.91,54.56,63.763749999999995,6.427313870269254,59.038511904761904,476.0,0.09313610393676136,4634.8
2020-01-12 06:00:00+00:00,53.81,5431.6,89.0,371.0,1821.0,1323.0,0.0,60.0,0.0,0.0,6,6,1,1,61.08,66.32,50.4,63.24250000000001,6.71196287625111,59.05880952380953,520.0,0.09573606303851535,4911.6
2020-01-12 07:00:00+00:00,53.92,5939.17,351.0,354.0,2046.0,1335.0,0.0,81.0,0.0,0.0,7,6,1,1,53.81,72.62,51.02,62.46333333333333,6.661248522916506,59.07607142857143,786.0,0.13234172451706214,5153.17
2020-01-12 08:00:00+00:00,53.98,6541.9,583.0,346.0,2403.0,1340.0,0.0,81.0,0.0,0.0,8,6,1,1,53.92,63.8,54.12,62.05416666666667,6.873779997154029,59.075238095238106,1010.0,0.1543893975756279,5531.9
2020-01-12 09:00:00+00:00,63.81,6937.92,660.0,290.0,2719.0,1495.0,0.0,63.0,0.0,0.0,9,6,1,1,53.98,57.72,54.12,62.307916666666664,6.819014960845247,59.13291666666667,1013.0,0.14600917854342513,5924.92
2020-01-12 10:00:00+00:00,55.98,7077.26,619.0,243.0,2766.0,1668.0,0.0,131.0,0.0,0.0,10,6,1,1,63.81,56.45,53.88,62.28833333333333,6.837220174174907,59.14541666666667,993.0,0.1403085374848458,6084.26
2020-01-12 11:00:00+00:00,56.52,6988.37,501.0,250.0,2703.0,1756.0,0.0,147.0,0.0,0.0,11,6,1,1,55.98,56.45,50.88,62.29125,6.834635776371085,59.1789880952381,898.0,0.12849920653886385,6090.37
2020-01-12 12:00:00+00:00,54.65,6638.35,403.0,304.0,2383.0,1774.0,0.0,117.0,0.0,0.0,12,6,1,1,56.52,56.46,50.38,62.215833333333336,6.911334053986722,59.20440476190476,824.0,0.12412723041117145,5814.35
2020-01-12 13:00:00+00:00,55.68,6594.98,252.0,380.0,2451.0,1672.0,0.0,156.0,0.0,0.0,13,6,1,1,54.65,57.76,50.4,62.12916666666667,6.982315497751758,59.235833333333325,788.0,0.119484820272389,5806.98
2020-01-12 14:00:00+00:00,56.49,6582.57,83.0,452.0,2684.0,1477.0,0.0,254.0,0.0,0.0,14,6,1,1,55.68,61.94,49.78,61.90208333333334,7.076721163613538,59.27577380952381,789.0,0.11986199918876671,5793.57
