datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil.1,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir.1,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,renewable_generation,fossil_generation,residual_load,hour,day_of_week,month,quarter,weekend,season,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation
2020-12-01 00:00:00,32.04,55823.3725,4443.5975,12714.86,11551.6075,6619.505,434.2775,0.03,30.5425,2073.77,2014.915,1247.755,38.8925,0.0,6530.5875,456.3475,192.3575,0.8125,691.3675000000001,3300.0075,14740.8775,23771.942500000005,31320.25,32051.429999999997,0,1,12,4,0,Winter,1.3,13.6,0.0,100,0.0
2020-12-01 01:00:00,33.95,53520.64,4420.6025,12790.835,11276.1425,6749.8075,433.56,0.03,30.6275,2359.4975,1541.795,1246.96,81.66749999999999,0.0,6761.645,455.6925,191.15,0.8525,438.25,2548.9075000000003,12972.4675,21271.4575,31250.345,32249.1825,1,1,12,4,0,Winter,1.4,14.3,0.0,98,0.0
2020-12-01 02:00:00,33.16,52053.7275,4438.38,12667.8225,11154.2025,7106.175,433.5625,0.0266666666666666,30.5275,2392.96,1792.91,1253.9875,33.1525,0.0,6859.4275,454.465,191.1775,0.84,329.4675,2958.84,11564.715,20249.915,31361.7625,31803.8125,2,1,12,4,0,Winter,1.2,14.5,0.0,100,0.0
2020-12-01 03:00:00,34.08,52240.93,4432.595,12642.3275,11341.7,7008.98,433.5875,0.01,30.4025,2318.8875,3011.4875,1242.7075,22.9425,0.0,7150.155000000001,455.455,192.545,0.8425,331.7175,3211.68,10188.0175,19098.785,31426.595,33142.145000000004,3,1,12,4,0,Winter,1.3,14.1,0.0,99,0.0
2020-12-01 04:00:00,35.34,53878.715,4448.1375,12460.2275,11737.7725,7713.15,433.615,0.0,30.2375,2115.6025,1717.57,1233.1925,56.6275,0.0,7408.1725,454.6025,194.5525,0.81,318.795,3960.5225,8573.9625,18273.2525,32344.765000000003,35605.462499999994,4,1,12,4,0,Winter,1.5,13.8,0.0,99,0.0
2020-12-01 05:00:00,38.43,56838.285,4483.495,13306.8575,12352.8425,9115.14,433.5925,0.0,29.765,1298.3075,1250.2,1229.5025,113.63,0.0,7606.2225,454.94,197.0575,0.895,317.0325,4444.145,7426.144999999999,17697.8125,35208.432499999995,39140.4725,5,1,12,4,0,Winter,1.4,13.8,0.0,100,0.1
2020-12-01 06:00:00,43.97,64492.1725,4591.085,14457.3825,14115.9525,11588.005,432.5725,0.0,29.265,760.4925000000001,812.365,1222.7975,132.81,0.0,7735.125,462.7,196.21,0.8325,314.1525,4790.55,6422.9725,17161.0475,40593.9125,47331.125,6,1,12,4,0,Winter,1.6,13.4,0.0,98,0.0
2020-12-01 07:00:00,54.91,70411.555,4688.2325,15269.7775,15247.2175,14277.505,431.09,0.25,28.7075,602.915,690.63,1213.7725,211.245,0.0,7742.275,461.7425,197.555,19.3825,314.02,4603.1225,5307.6775,16043.4325,45225.59,54368.1225,7,1,12,4,0,Winter,1.5,12.6,0.0,91,0.0
2020-12-01 08:00:00,57.64,72538.335,4759.45,15760.275,15705.205,14595.845,432.435,0.2825,28.6725,1760.4699999999998,1486.395,1223.6950000000002,265.74,0.0,7751.335,461.945,195.0975,191.2925,315.9725,4747.2875,4476.1675,15663.6325,46493.76,56874.70250000001,8,1,12,4,0,Winter,0.9,11.2,0.0,31,0.0
2020-12-01 09:00:00,61.28,73437.70749999999,4704.0775,15829.7775,15680.2825,14554.9675,540.1775,0.0,28.63,971.89,1680.905,1234.005,138.7575,0.0,7762.255,461.275,190.71,692.7950000000001,326.535,4880.27,3593.1875,15243.0925,46605.205,58194.61499999999,9,1,12,4,0,Winter,-0.1,9.9,0.0,46,0.0
2020-12-01 10:00:00,64.21,73915.2725,4630.1375,15974.52,15613.81,14547.4275,676.63,0.0,28.2775,1650.65,2102.03,1243.4225,167.7225,0.0,7768.5475,462.935,186.61,1328.6325000000002,316.2475,4151.45,2917.12,14438.485,46812.3875,59476.787500000006,10,1,12,4,0,Winter,0.9,10.7,29.0,54,0.0
2020-12-01 11:00:00,63.75,74238.58499999999,4625.355,15967.9,15057.4975,14685.575,684.9875,0.0,27.955,2040.13,1218.51,1240.48,184.335,0.0,7769.8975,500.48,186.645,1790.23,314.3225,3429.25,2535.145,13804.794999999998,46395.96000000001,60433.78999999999,11,1,12,4,0,Winter,2.4,11.3,78.0,49,0.0
2020-12-01 12:00:00,60.96,74033.805,4583.3525,15821.8425,15133.205,15063.4,688.4,0.0,27.705,2457.9425,536.47,1247.4275,194.5575,0.0,7775.7475,503.4625,189.7925,2021.8775,317.2125,2704.825,2642.05,13394.09,46706.8475,60639.715,12,1,12,4,0,Winter,3.5,13.1,159.0,82,0.0
2020-12-01 13:00:00,63.07,73305.69750000001,4581.215,15816.5925,14871.13,15352.92,688.12,0.0,27.545,864.45,700.1949999999999,1262.2125,187.2825,0.0,7784.622499999999,512.1525,188.2475,1718.065,317.27250000000004,2218.99,2849.275,12817.04,46728.7625,60488.65750000001,13,1,12,4,0,Winter,4.0,11.0,172.0,98,0.0
2020-12-01 14:00:00,61.47,72377.25,4591.1325,15717.3825,14952.2675,15297.0025,679.0025,0.0,27.5,1070.3125,522.065,1274.67,212.6575,0.0,7790.0375,517.3275,192.41,980.805,315.665,2117.4875,2920.25,12097.0025,46645.655,60280.2475,14,1,12,4,0,Winter,3.6,9.8,144.0,90,0.0
2020-12-01 15:00:00,60.88,71957.8375,4656.26,15449.8225,15399.555,15362.1675,677.2925,0.0,27.47,1292.9425,273.4825,1303.3875,224.58,0.0,7792.8075,526.2275,188.7975,303.90250000000003,327.28,2087.1925,2901.455,11476.7775,46888.8375,60481.06,15,1,12,4,0,Winter,3.8,9.7,100.0,96,0.0
2020-12-01 16:00:00,62.06,72808.6925,4754.98,15420.92,16056.05,15468.05,693.955,0.0,27.1825,1871.025,1561.0925,1309.1475,414.745,0.0,7803.2875,526.385,188.4925,10.5075,318.4775,1922.0075,2897.5325,11308.919999999998,47638.975,61499.77250000001,16,1,12,4,0,Winter,3.8,9.7,43.0,96,0.0
2020-12-01 17:00:00,77.98,74152.4125,4842.415,15379.79,16322.4525,15492.675,836.3825,0.0,27.475,2924.605,1346.395,1317.0575,292.32,0.0,7813.3625,526.015,187.805,1.0,317.58,1854.07,2840.035,11146.8975,48031.3,63005.51500000001,17,1,12,4,0,Winter,3.4,8.7,7.0,85,0.0
2020-12-01 18:00:00,75.25,73176.25,4839.8525,15660.1925,16263.7825,15507.535,712.3975,0.0,27.79,2220.025,1337.7375,1324.72,263.395,0.0,7820.565,526.865,188.385,0.9325,324.52250000000004,1578.8275,2808.44,10816.1675,48143.9075,62360.0825,18,1,12,4,0,Winter,2.8,8.6,0.0,99,0.0
2020-12-01 19:00:00,66.32,70896.58499999999,4791.5225,15855.5425,15914.1125,15465.12,486.19,0.0,27.9325,2167.0825,969.3125,1323.615,257.55,0.0,7829.08,527.37,187.74,0.91,317.9925,1526.2775,2651.0325000000003,10550.9075,47720.965,60345.67749999999,19,1,12,4,0,Winter,2.7,9.5,0.0,100,0.0
2020-12-01 20:00:00,57.66,67086.02500000001,4681.4625,15942.95,15233.105,15239.255,433.57,0.01,28.1675,967.5275,143.06,1324.1475,269.4925,0.0,7832.3425,528.7475,189.37,0.83,318.16,1483.215,2385.9675,10145.115,46848.88,56940.91000000001,20,1,12,4,0,Winter,2.7,10.1,0.0,99,0.0
2020-12-01 21:00:00,53.34,63660.995,4605.725,15891.5625,14518.7425,14844.435,433.1225,0.01,28.3925,400.99,448.1125,1325.8525,213.275,0.0,7838.5175,522.4375,191.5,0.84,331.4975,1420.8075,2060.07,9626.57,45687.8625,54034.425,21,1,12,4,0,Winter,2.7,11.1,0.0,98,0.0
2020-12-01 22:00:00,50.16,60793.3175,4548.8175,15888.3525,14004.7675,13665.195,433.56,0.015,28.83,266.2875,760.0174999999999,1332.515,245.3275,0.0,7852.702499999999,520.51,189.6525,0.81,331.5175,1347.1875,1816.9775,9291.635,43991.875,51501.6825,22,1,12,4,0,Winter,2.2,10.6,0.0,59,0.0
2020-12-01 23:00:00,47.13,57042.715,4491.005,15814.885,13666.7025,12939.125,431.315,0.0133333333333333,29.1225,742.3025,1210.87,1336.665,207.1275,0.0,7858.6425,519.385,190.8475,0.865,333.6175,1259.715,1892.13,9187.5075,42852.0275,47855.2075,23,1,12,4,0,Winter,0.9,9.2,0.0,29,0.0
2020-12-02 00:00:00,47.8,54072.725,4476.1625,15587.655,13657.3675,12726.075,432.6875,0.02,29.365,1313.64,2647.1375,1344.075,177.7425,0.0,7862.08,503.5975,188.275,0.8025,293.24,1075.3425,1873.25,8947.375,42403.785,45125.35,0,2,12,4,0,Winter,-0.1,8.1,0.0,23,0.0
2020-12-02 01:00:00,46.27,52071.2025,4443.514999999999,15312.355,13620.0575,12349.99,433.565,0.02,29.35,2211.61,3063.4075,1335.4450000000002,173.805,0.0,7871.0875,499.8875,186.745,0.8374999999999999,293.22,865.8925,1820.035,8639.529999999999,41715.9675,43431.6725,1,2,12,4,0,Winter,-0.7,7.6,0.0,14,0.0
2020-12-02 02:00:00,44.71,51262.8525,4447.3475,14972.1525,13503.6225,11606.36,433.3625,0.05,29.385,2141.12,3372.8775,1329.7600000000002,109.595,0.0,7877.372499999999,499.9125,183.8225,0.8125,293.15,949.38,1922.745,8759.64,40515.4975,42503.2125,2,2,12,4,0,Winter,0.7,5.1,0.0,25,0.0
2020-12-02 03:00:00,43.42,51724.4925,4441.532499999999,15008.13,13404.745,11160.095,433.57,0.025,29.24,2123.5625,3628.5925,1307.715,92.1775,0.0,7889.61,500.0675,181.27,0.85,293.38,857.4,1879.175,8578.849999999999,40006.54,43145.6425,3,2,12,4,0,Winter,1.0,6.5,0.0,89,0.0
2020-12-02 04:00:00,44.56,52955.302500000005,4456.8175,15029.2825,13782.5625,11592.1575,433.57,0.015,29.1775,2160.1475,3168.7925,1298.71,125.2175,0.0,7902.4825,501.52,187.315,0.825,293.17,789.665,1781.4875,8452.7225,40837.5725,44502.58,4,2,12,4,0,Winter,0.8,6.5,0.0,51,0.0
2020-12-02 05:00:00,47.49,56143.77,4503.7175,15526.45,14465.57,12813.9175,433.56,0.0233333333333333,28.83,1924.2225,2141.6925,1291.33,229.545,0.0,7904.135,505.4475,194.5675,0.8674999999999999,290.665,770.3225,1735.9525,8531.735,43239.4975,47612.035,5,2,12,4,0,Winter,-0.5,6.5,0.0,19,0.0
2020-12-02 06:00:00,58.58,63585.105,4596.612499999999,15921.36,15326.0725,13689.8625,433.5725,0.0,28.512500000000003,1012.695,774.4975000000001,1278.1625,278.765,0.0,7914.46,511.5225,190.73,0.8225,283.1125,706.38,1750.57,8611.3125,45370.8675,54973.7925,6,2,12,4,0,Winter,-1.1,7.1,0.0,38,0.0
2020-12-02 07:00:00,83.67,69348.1,4705.797500000001,15963.9675,16063.29,14131.715,439.61,0.03,28.265,752.025,794.4525,1268.4275,123.035,0.0,7919.005,511.4675,186.67,20.86,278.3575,784.7825,1813.0325,8715.935000000001,46598.5825,60632.16500000001,7,2,12,4,0,Winter,-1.1,7.3,0.0,60,0.0
2020-12-02 08:00:00,105.46,71880.14,4763.9575,16383.1425,16030.1725,14163.125,639.3925,0.0,28.1775,1304.08,1582.9,1273.63,196.335,0.0,7926.235000000001,511.415,184.63,486.215,271.22,856.665,1808.315,9385.1175,47215.8325,62495.0225,8,2,12,4,0,Winter,-1.1,6.6,0.0,73,0.0
2020-12-02 09:00:00,105.42,72525.86,4759.195,16364.9925,16336.455,14176.7975,700.495,0.0,28.0925,1642.325,1257.805,1271.2275,386.0225,0.0,7936.085,506.8075,185.2875,1586.94,272.1875,889.04,1658.18,10550.605,47578.740000000005,61975.255000000005,9,2,12,4,0,Winter,-0.8,7.4,0.0,76,0.0
2020-12-02 10:00:00,100.06,73506.0475,4754.7325,16319.4825,16157.3325,14190.875,776.575,0.0,26.9075,3514.9675,1536.0175,1278.235,1090.8375,0.0,7944.4375,512.4649999999999,184.5225,2853.9075000000003,278.915,839.265,1285.61,12102.5875,47444.265,61403.46,10,2,12,4,0,Winter,-0.3,9.0,18.0,74,0.0
2020-12-02 11:00:00,95.19,74312.58499999999,4745.9475,16318.2375,16160.9725,14243.015,911.1075,0.0,26.6775,3199.755,1468.3675,1308.435,1004.925,0.0,7949.0275,508.87,183.0975,3885.6925,281.16,691.3175,1009.6175,12645.935,47633.3325,61666.65,11,2,12,4,0,Winter,0.4,9.3,71.0,65,0.0
2020-12-02 12:00:00,84.95,73681.91,4700.8725,16342.1075,16363.85,14249.57,916.2625,0.0,26.67,2215.4325,980.9825,1335.31,724.4675,0.0,7958.5425,503.8725,182.3225,4059.095,281.3975,586.5775,907.2625,12313.585,47871.78999999999,61368.325,12,2,12,4,0,Winter,1.2,9.4,142.0,64,0.0
2020-12-02 13:00:00,82.9,73514.485,4675.7925,16363.49,16386.6525,14191.2525,933.315,0.0,26.692500000000003,1864.4325,1233.345,1343.6625,638.38,0.0,7963.1575,502.715,184.7275,3276.8825,279.95,664.3,979.8375,11578.855,47874.71,61935.630000000005,13,2,12,4,0,Winter,2.0,9.4,207.0,5,0.0
2020-12-02 14:00:00,90.0,72910.8475,4634.46,16328.175,16308.445,13920.725,767.8175,0.0,26.865,1035.4775,1536.385,1351.495,489.3075,0.0,7971.0125,501.105,188.355,1854.06,288.7825,814.9425,1162.5375,10306.8025,47325.1625,62604.045000000006,14,2,12,4,0,Winter,1.6,7.2,196.0,6,0.0
2020-12-02 15:00:00,88.09,72814.57,4669.03,16368.8675,16375.2775,13893.5775,712.3675,0.0,27.0025,1027.8875,1108.145,1371.11,439.6475,0.0,7978.64,501.055,189.6275,465.2975,289.2575,1071.765,1665.8125,9682.6625,47350.09,63131.90750000001,15,2,12,4,0,Winter,1.8,8.9,161.0,41,0.0
2020-12-02 16:00:00,105.4,73868.9025,4760.4925,16381.175,16388.7725,13938.105,691.58,0.0,27.13,815.85,1060.3675,1381.0425,350.3225,0.0,7978.6675,500.6625,187.08,11.79,283.7575,1378.2575,2532.17,10414.075,47399.6325,63454.8275,16,2,12,4,0,Winter,1.3,8.0,100.0,9,0.0
2020-12-02 17:00:00,110.56,74745.7425,4805.6275000000005,16324.5525,16537.4325,14689.385,814.2125,0.0,27.7875,1473.7275,1411.12,1383.3625,308.835,0.0,7990.0,500.2875,187.43,1.025,278.5975,1748.55,3347.3025,11594.7025,48365.5825,63151.03999999999,17,2,12,4,0,Winter,-0.3,8.8,20.0,25,0.0
2020-12-02 18:00:00,99.03,73478.685,4827.110000000001,16420.612500000003,16619.335,14724.115000000002,748.8175,0.0,28.6,1330.655,1443.7425,1386.125,403.15,0.0,7999.025,501.3225,185.0775,0.9175,278.5625,2116.5475,3773.185,12507.035,48512.88,60971.65,18,2,12,4,0,Winter,-0.8,10.6,0.0,19,0.0
2020-12-02 19:00:00,77.79,71783.45999999999,4778.25,16402.7825,16163.4475,14775.54,481.375,0.0,28.9525,674.9325,1084.91,1395.445,227.8,0.0,8000.1975,502.13,186.6,0.905,278.1875,2497.375,4295.9775,13195.7525,47823.145,58587.70749999999,19,2,12,4,0,Winter,-1.0,13.4,0.0,35,0.0
2020-12-02 20:00:00,64.0,68194.88,4672.8375,16409.57,14901.6575,14547.1425,440.9925,0.0,29.0775,505.5525,144.24,1395.8275,211.2725,0.0,8008.9925,504.0175,189.0825,0.8049999999999999,280.08,2835.1925,4859.74,13975.675,46299.3625,54219.205,20,2,12,4,0,Winter,-1.3,14.5,0.0,13,0.0
2020-12-02 21:00:00,55.55,65044.8575,4629.12,16230.415,14586.2125,13615.4525,440.545,0.0,29.2075,454.6,206.52,1411.5275,131.845,0.0,8011.315,504.555,191.945,0.865,280.6775,3512.6025,5190.077499999999,14876.0375,44872.625,50168.82,21,2,12,4,0,Winter,-1.7,14.1,0.0,3,0.0
2020-12-02 22:00:00,51.39,62370.695,4576.715,15370.1025,13794.8425,13011.145,441.6175,0.0,29.465,247.015,644.9124999999999,1424.435,56.905,0.0,7999.61,505.07,190.735,0.85,286.8925,4197.83,5565.78,15822.515,42617.7075,46548.18,22,2,12,4,0,Winter,-2.1,12.2,0.0,1,0.0
2020-12-02 23:00:00,43.45,58719.7975,4522.75,14464.12,13522.2925,11074.7625,438.8325,0.0,29.0375,1294.5825,998.06,1433.9575,122.2225,0.0,7783.6275,506.2825,194.6575,0.8474999999999999,295.305,4880.235000000001,6099.514999999999,17059.5275,39500.0075,41660.27,23,2,12,4,0,Winter,-2.5,11.2,0.0,0,0.0
2020-12-03 00:00:00,41.85,56109.0825,4452.0825,14072.395,13218.3525,7972.415,439.105,0.0,29.2375,1284.02,2180.535,1425.8975,92.66,0.0,7731.1675,506.675,194.8775,0.8425,292.0125,5580.5,6571.3725,18123.355,35702.26750000001,37985.72749999999,0,3,12,4,0,Winter,-2.8,12.0,0.0,0,0.0
2020-12-03 01:00:00,41.21,53957.5875,4453.41,13911.7025,13113.255,6943.3325,438.615,0.0,29.175,1927.055,2252.7075,1411.965,158.64749999999998,0.0,7731.4775,506.4425,195.1825,0.8474999999999999,290.4325,5857.325,6816.2825,18698.4775,34406.905,35259.11,1,3,12,4,0,Winter,-3.1,11.8,0.0,32,0.0
2020-12-03 02:00:00,39.09,53265.3925,4454.225,13739.51,13029.71,6978.425,437.2125,0.0,29.735,1865.145,2545.0625,1404.825,150.6675,0.0,7737.9125,506.5725,193.4725,0.85,291.995,5981.435,7062.8875,19054.89,34184.8575,34210.5025,2,3,12,4,0,Winter,-3.5,12.6,0.0,16,0.0
2020-12-03 03:00:00,38.25,53437.5725,4451.3125,13464.0625,13059.1725,7138.2300000000005,432.8875,0.0,29.86,1877.9725,2759.4175,1378.6475,150.9975,0.0,7746.285,514.5425,191.755,0.865,292.0375,5823.705,7729.815,19535.3425,34094.35249999999,33902.23,3,3,12,4,0,Winter,-3.5,12.0,0.0,73,0.0
2020-12-03 04:00:00,39.12,54958.9,4466.0225,13124.6375,13283.66,7722.775,429.31,0.01,29.6725,1891.8875,2499.9025,1360.925,152.94,0.0,7754.309999999999,514.265,191.05,0.85,297.4625,5546.6275000000005,8256.0525,19783.4175,34560.38249999999,35175.4825,4,3,12,4,0,Winter,-3.5,13.0,0.0,96,0.0
2020-12-03 05:00:00,42.63,58470.37,4492.6725,13866.34,13891.8225,8516.8975,428.57,0.0,29.3125,1693.59,1582.8275,1352.8925,161.4275,0.0,7759.6025,499.65,190.945,0.8925000000000001,298.33,5038.055,8795.85,19841.79,36703.63,38628.58,5,3,12,4,0,Winter,-3.1,14.0,0.0,95,0.0
2020-12-03 06:00:00,53.42,65433.13,4575.53,14588.4775,14528.34,10361.9225,431.6025,0.02,28.915,600.165,347.2675,1342.25,263.8925,0.0,7725.685,497.265,191.1325,0.855,403.87,4275.06,9305.17,19762.7575,39910.342500000006,45670.3725,6,3,12,4,0,Winter,-2.9,14.0,0.0,100,0.0
2020-12-03 07:00:00,60.04,71703.8425,4710.532499999999,14957.465,15550.59,11642.7075,440.5125,0.04,28.5925,1844.1,2450.69,1336.2575,237.835,0.0,7729.372499999999,496.125,188.2025,21.2375,621.605,3669.25,10281.62,20256.7325,42591.275,51447.11,7,3,12,4,0,Winter,-2.7,13.4,0.0,98,0.0
2020-12-03 08:00:00,62.57,74571.255,4746.84,15799.925,16031.0225,11912.34,440.6375,0.0,28.225,1705.33,1730.485,1324.805,234.2825,0.0,7657.275,496.115,185.8125,195.405,630.12,3495.2775,11272.25,21268.86,44183.925,53302.395,8,3,12,4,0,Winter,-2.4,12.7,0.0,100,0.0
2020-12-03 09:00:00,66.01,75585.22,4732.0625,16020.1575,16164.455,11889.0075,438.42,0.025,27.89,1884.23,1536.35,1309.9475,301.5975,0.0,7654.455,496.315,189.555,692.615,632.7475,4163.355,11546.2225,22745.8,44512.04,52839.420000000006,9,3,12,4,0,Winter,-1.7,13.4,0.0,100,0.0
2020-12-03 10:00:00,62.25,76417.6675,4688.7125,16043.6525,16093.445,11731.795,436.07,0.08,27.7075,2123.2275,1384.785,1305.6475,292.4975,0.0,7656.0275,497.3375,186.4825,1431.915,632.7975,4379.12,11809.375,23907.2675,44304.9625,52510.4,10,3,12,4,0,Winter,-1.0,15.3,12.0,99,0.0
2020-12-03 11:00:00,62.48,77277.64,4638.325,16058.3525,15721.6425,11558.9875,436.07,0.0875,27.7075,1572.2475,1252.6775,1324.1425,237.1025,0.0,7641.497499999999,502.65,189.6925,2185.07,638.3775,5006.9400000000005,12078.8,25470.38,43775.0525,51807.26,11,3,12,4,0,Winter,-0.5,14.9,40.0,100,0.0
2020-12-03 12:00:00,61.69,77364.59,4558.77,15892.9525,15501.3275,11496.5025,433.5625,0.1125,27.5825,624.91,245.455,1328.89,165.425,0.0,7605.2375,507.555,187.9725,2883.235,641.5125,5279.4775,12286.615,26502.4125,43324.345,50862.1775,12,3,12,4,0,Winter,-0.1,16.1,55.0,100,0.0
2020-12-03 13:00:00,58.14,76658.6125,4551.42,15912.2325,15409.445,10968.135,428.675,0.09,27.27,579.1424999999999,434.4975,1347.745,130.495,0.0,7534.3375,503.5425,190.2125,3101.735,627.8975,4996.0275,12517.3775,26644.8,42718.4875,50013.81250000001,13,3,12,4,0,Winter,0.3,15.7,64.0,93,0.0
2020-12-03 14:00:00,55.73,75698.9875,4548.37,15832.53,14464.4125,10609.8225,432.895,0.0825,27.49,609.3000000000001,673.1725,1362.4325,124.595,0.0,7631.18,499.2025,191.705,2090.7125,632.6225,4414.19,13557.7625,26098.0625,41339.66,49600.925,14,3,12,4,0,Winter,-0.4,20.0,81.0,97,0.0
2020-12-03 15:00:00,51.33,75891.435,4581.8975,15625.2875,14318.3675,10314.65,440.3275,0.0775,27.625,599.9875,430.255,1372.6075,72.28,0.0,7645.9825,499.18,193.7925,699.6625,636.255,5389.842500000001,15211.65,27327.939999999995,40698.6325,48563.495,15,3,12,4,0,Winter,0.4,18.5,55.0,97,0.0
2020-12-03 16:00:00,50.28,77310.47750000001,4679.7825,15606.9975,14441.315,9458.83,442.6225,0.1375,27.5925,186.665,527.05,1377.08,108.7725,0.0,7665.06,498.9375,193.9525,20.14,633.5375,6190.1425,17851.8875,30227.805,39949.765,47082.67250000001,16,3,12,4,0,Winter,0.2,15.7,23.0,99,0.0
2020-12-03 17:00:00,52.94,79361.67749999999,4752.9625,15285.1525,14775.99,8871.315,441.08,0.145,27.9425,740.29,2255.5825,1380.915,143.01999999999998,0.0,7614.85,498.4525,195.445,0.9625,643.96,6380.575,20521.205,33179.64000000001,39373.537500000006,46182.037499999984,17,3,12,4,0,Winter,-0.2,15.9,6.0,96,0.1
2020-12-03 18:00:00,47.18,78745.28,4773.237499999999,14600.445,14324.6025,8134.184999999999,442.37,0.1125,28.17,845.995,1221.0275,1375.8675,136.3425,0.0,7324.4825,499.0175,196.5975,0.955,644.795,6468.1675,22379.305,35133.875,37501.6025,43611.405,18,3,12,4,0,Winter,-0.3,16.3,0.0,97,0.0
2020-12-03 19:00:00,41.63,76402.0575,4728.2225,14095.0175,13525.6175,6924.3975,442.6225,0.1675,28.4075,360.9325,366.44,1373.5475,35.26,0.0,7308.065,499.5125,196.39,0.9025,645.315,6274.4825,23192.6875,35605.1025,34987.655,40796.955,19,3,12,4,0,Winter,-0.3,17.1,0.0,95,0.0
2020-12-03 20:00:00,34.2,71124.16750000001,4666.6825,13976.765,11527.81,5140.68,441.08,0.1325,28.5775,172.4975,841.285,1361.755,84.4375,0.0,7313.08,500.3375,195.0975,0.8375,638.2025,6051.255,23941.9525,36106.920000000006,31086.335,35017.247500000005,20,3,12,4,0,Winter,0.1,16.3,0.0,90,0.0
2020-12-03 21:00:00,31.25,67104.235,4603.02,13251.91,9928.015,4455.5675,443.4975,0.11,28.895,534.35,1067.035,1370.4775,112.87,0.0,7304.46,501.075,193.78,0.8574999999999999,636.465,5932.025,24311.84,36331.09,28078.99,30773.145000000004,21,3,12,4,0,Winter,0.2,17.3,0.0,94,0.0
2020-12-03 22:00:00,31.23,64413.57,4536.34,12250.8525,9387.0425,4856.2425,443.58,0.1025,29.3775,603.315,2380.125,1361.125,119.9275,0.0,7268.975,507.915,193.4,0.83,628.405,6006.610000000001,23712.7825,35737.615000000005,26937.7175,28675.954999999994,22,3,12,4,0,Winter,0.1,17.0,0.0,96,0.0
2020-12-03 23:00:00,27.5,60665.3325,4500.025,10698.7175,8664.945,4910.7475,443.58,0.0725,30.0475,1574.7725,2191.1075,1360.975,111.3675,0.0,7281.6025,504.765,194.8725,0.86,638.1525,6050.615,24082.5825,36106.425,24717.990000000005,24558.907499999998,23,3,12,4,0,Winter,0.2,16.6,0.0,90,0.0
2020-12-04 00:00:00,30.83,57522.42,4426.675,9691.3475,7699.5325,4290.51,443.58,0.0525,30.26,1949.545,1988.8125,1361.9275,153.245,0.0,7336.53,499.8,196.5575,0.8425,633.1125,5702.5375,24430.69,36075.9175,22124.97,21446.502499999995,0,4,12,4,0,Winter,-0.5,17.2,0.0,46,0.0
2020-12-04 01:00:00,28.43,55530.4375,4395.71,9549.4,7722.8925,4030.21,443.455,0.07,30.2875,2337.1675,2083.875,1350.4,107.035,0.0,7388.5,503.015,197.21,0.8525,633.935,5545.5025,25136.6375,36536.1375,21745.957500000004,18994.3,1,4,12,4,0,Winter,-1.8,17.0,0.0,11,0.0
2020-12-04 02:00:00,27.88,55109.105,4382.4125,8768.805,7351.695,4118.28,441.7875,0.0775,30.3775,2359.795,2445.675,1352.55,50.2375,0.0,7349.9525,506.245,196.8875,0.8574999999999999,628.28,5622.97,25965.8025,37374.83,20680.5675,17734.275,2,4,12,4,0,Winter,-1.7,16.9,0.0,13,0.0
2020-12-04 03:00:00,27.16,55533.2625,4391.915,8329.0125,7452.6825,4264.67,442.3275,0.055,30.155,2348.4125,2943.5275,1349.9,82.88,0.0,7298.365,507.4675,193.72,0.87,622.165,5429.61,26658.3125,37913.4875,20488.6925,17619.775,3,4,12,4,0,Winter,-1.9,17.8,0.0,3,0.0
2020-12-04 04:00:00,24.6,56488.325,4404.8375,8643.682499999999,7645.815,4279.7475,441.9125,0.1025,29.5775,2264.03,2536.955,1327.0375,62.7825,0.0,7132.57,507.6575,193.075,0.8574999999999999,632.235,5451.6,26783.23,38030.345,21011.1575,18457.98,4,4,12,4,0,Winter,-2.0,19.6,0.0,1,0.0
2020-12-04 05:00:00,30.45,59202.215,4448.535,10250.9675,8201.065,4419.4775,442.1625,0.09,29.08,2329.15,1814.28,1321.9375,37.7425,0.0,7347.17,506.4375,192.515,0.8875,637.1424999999999,5382.195,26551.1775,37742.475000000006,23313.6725,21459.73999999999,5,4,12,4,0,Winter,-2.0,20.6,0.0,10,0.0
2020-12-04 06:00:00,33.69,66302.575,4529.0375,13522.525,9877.83,4751.245,441.87,0.095,28.785,1661.9675,482.355,1313.515,105.8225,0.0,7401.1025,502.95,192.4825,0.905,645.875,5340.2075,26823.865,38113.3525,28593.47,28189.2225,6,4,12,4,0,Winter,-1.9,18.1,0.0,53,0.0
2020-12-04 07:00:00,33.4,72932.3725,4630.0675,14622.865,12087.6325,4936.889999999999,441.62,0.0925,28.1325,266.6775,502.0275,1304.9375,193.4375,0.0,7412.4125,503.1025,195.355,11.5775,641.495,5434.1425,25611.09,37185.2525,32089.0075,35747.12,7,4,12,4,0,Winter,-1.3,18.8,0.0,73,0.0
