datetime,forecast_load_mw
2026-07-15 00:00:00,46975.164
2026-07-15 01:00:00,46126.746
2026-07-15 02:00:00,46002.402
2026-07-15 03:00:00,45517.05
2026-07-15 04:00:00,45412.695
2026-07-15 05:00:00,46171.207
2026-07-15 06:00:00,46955.45
2026-07-15 07:00:00,48627.2
2026-07-15 08:00:00,50480.473
2026-07-15 09:00:00,51955.19
2026-07-15 10:00:00,53562.242
2026-07-15 11:00:00,55798.43
2026-07-15 12:00:00,55575.266
2026-07-15 13:00:00,53245.516
2026-07-15 14:00:00,52288.875
2026-07-15 15:00:00,51922.29
2026-07-15 16:00:00,53797.58
2026-07-15 17:00:00,55683.973
2026-07-15 18:00:00,57311.43
2026-07-15 19:00:00,54235.8
2026-07-15 20:00:00,51540.08
2026-07-15 21:00:00,50188.723
2026-07-15 22:00:00,48626.508
2026-07-15 23:00:00,47858.03
